requirement_id,chapter_id,feature,detailed_behavior,classification,priority,evidence_paths,open_question_ids,route_id,react_route,react_files,component_ids,action_ids,parity_status,functional_status,persistence_status,permissions_status,performance_status,unit_test_ids,playwright_test_ids,selenium_test_ids,visual_test_ids,blocker_type,blocker_ids,blocker_reason,last_verified_sha,functional_fingerprint,notes
"CH05-F005","CH05","Selección de servicio autocompleta precio","Al seleccionar V50111 Hospitalización en casa 24 Horas se muestra el precio unitario 137.17.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0050_00h09m16s200ms_stable_change.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0050_00h09m16s200ms_DETAIL.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-ITEM-ADD","PARTIAL","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch05-quote-services-medications","SEL-CH05-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","El selector conserva un concepto sintético, pero el precio queda deliberadamente manual: los valores observados no autorizan un tarifario."
"CH05-F006","CH05","Cantidad requerida y acción Añadir","El compositor exige Cantidad y permite añadir el concepto seleccionado.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0052_00h09m30s400ms_abrupt_change.jpg","CH05-Q003","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-ITEM-ADD","EXACT","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch05-quote-services-medications","SEL-CH05-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Cantidad inicia en 0, se marca requerida y se rechaza sin crear línea; una cantidad positiva crea una línea que se guarda y recarga."
"CH05-F007","CH05","Ledger de conceptos agrupado por tipo","Después de añadir, aparece una sección Servicios con fila removible y columnas Tipo, Código, Item, Precio, Cantidad, Subtotal, descuentos, Impuesto y Total.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0054_00h09m31s400ms_abrupt_change.jpg","CH05-Q009","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-MEDICATION-SEARCH|QUOTE-MEDICATION-SELECT","PARTIAL","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch05-quote-services-medications","SEL-CH05-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Las líneas manuales persisten por categoría, pero no se reproduce el ledger agrupado ni las columnas Tipo/Código/Impuesto sin reglas autorizadas."
"CH05-F008","CH05","Resumen de subtotal, descuentos, impuesto y total","La pantalla presenta importes por línea y un resumen global que se recalcula al añadir conceptos.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0067_00h09m56s400ms_abrupt_change.jpg","CH05-Q004|CH05-Q008","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","QUOTE-TOTALS-SUMMARY","QUOTE-ITEM-ADD|QUOTE-DISCOUNT-UPDATE","PARTIAL","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:quotes-builder-lifecycle","SEL-QUOTE-DISCOUNT","","CLIENT_DEFINITION","CH05-Q004|CH05-Q008","La interfaz recalcula subtotal, descuento y total de importes manuales sintéticos. El video no autoriza impuesto, cobertura ni la regla financiera que determina el total final.","0e0626fccc8d464b98458c4a40bf185a992f2a90","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","CH05-E0067 respalda la presencia del resumen. Playwright y Selenium comprueban que añadir una línea y actualizar un descuento recalculan y preservan los importes manuales; no se muestra impuesto ni se infieren cobertura, moneda o reglas financieras."
"CH05-F009","CH05","Múltiples líneas de Servicios","Se añade Atril metálico + Bomba de infusión como segunda línea, manteniendo la hospitalización previa.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0065_00h09m50s400ms_abrupt_change.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0065_00h09m50s400ms_DETAIL.jpg","CH05-Q002","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH05-F010","CH05","Compositor específico de Medicamentos","Al cambiar a Medicamentos se reinician Socio de negocios, selector, Precio y Cantidad para ese tipo.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0071_00h10m42s400ms_settled.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0071_00h10m42s400ms_DETAIL.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-MEDICATION-CATEGORY","PARTIAL","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch05-quote-services-medications","SEL-CH05-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Medicamentos abre un compositor separado y restablece concepto, búsqueda y socio locales; no certifica el precio o cantidad inicial observado."
"CH05-F011","CH05","Catálogo de medicamentos muestra conteos entre paréntesis","Las opciones combinan código, producto, principio activo, presentación, fabricante y un conteo visible.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0075_00h10m46s800ms_abrupt_change.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0075_00h10m46s800ms_DETAIL.jpg","CH05-Q005","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH05-F012","CH05","Estado sin resultados en búsqueda","Una búsqueda que no coincide muestra el mensaje No results found y se recupera al corregir el término.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0077_00h10m48s800ms_abrupt_change.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0077_00h10m48s800ms_DETAIL.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-MEDICATION-SEARCH|QUOTE-MEDICATION-SELECT","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch05-quote-services-medications","SEL-CH05-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","No results found se muestra para una consulta sintética sin coincidencia y se recupera al corregirla."
"CH05-F013","CH05","Selección de medicamento autocompleta precio","Invanz se selecciona con precio visible 64.10 y CEFAXONA con 10.97.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0079_00h10m54s800ms_abrupt_change.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0079_00h10m54s800ms_DETAIL.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0087_00h11m11s000ms_abrupt_change.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0087_00h11m11s000ms_DETAIL.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH05-F014","CH05","Intento de añadir Invanz restablece el compositor","Con Invanz, precio 64.10 y cantidad 5 se pulsa Añadir, aparece Procesando... y luego el selector queda vacío.","UNCERTAIN","P2","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0080_00h11m04s400ms_abrupt_change.jpg|references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0080_00h11m04s400ms_DETAIL.jpg","CH05-Q006|CH05-Q007","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","NOT_TESTABLE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","NOT_TESTABLE","CH05-Q006|CH05-Q007","Clasificación conservadora inicial; debe cerrarse durante la comparación código/pruebas.","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH05-F015","CH05","Filtro de inventario y acciones finales visibles","Solo disponibles en inventario permanece desmarcado; Atrás y Guardar aparecen debajo del resumen.","VISIBLE","P1","references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0067_00h09m56s400ms_abrupt_change.jpg","CH05-Q004|CH05-Q008","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH06-F01","CH06","Categorías de ítems de cotización","La nueva cotización presenta pestañas Servicios, Estudios Dx, Medicamentos, Insumos, Equipos, Honorarios y Extras, además de Solo disponibles en inventario.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0007_00h11m34s600ms_motion_progress.jpg","CH06-Q001","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-SUPPLY-INVENTORY-ONLY|QUOTE-STUDY-INVENTORY-ONLY","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch05-quote-services-medications|playwright:ch06-synthetic-catalogs","SEL-CH05-QUOTE-CATALOG|SEL-CH06-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Las siete pestañas y el filtro de disponibilidad sintético se ejercitan sin afirmar existencias, reservas ni precios reales."
"CH06-F02","CH06","Catálogo por socio de negocios","Cada categoría explorada solicita Socio de negocios y ofrece un selector buscable; las opciones visibles cambian entre socios como VITAE, SURA, MAPFRE, Socio 2021 y OMNIA.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/detail_crops/CH06-E0053_00h12m34s800ms_DETAIL.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-SUPPLY-BUSINESS-PARTNER|QUOTE-STUDY-BUSINESS-PARTNER|QUOTE-FEE-BUSINESS-PARTNER","PARTIAL","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch06-synthetic-catalogs","SEL-CH06-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Los selectores de socio sintéticos se ejercitan y persisten con las líneas; los socios, sus listas y reglas de precio de producción siguen sin fuente aprobada."
"CH06-F03","CH06","Selección de insumos con existencia","El catálogo de Insumos muestra código, descripción, fabricante y existencia entre paréntesis; admite búsqueda, estado Sin resultados, precio autocompletado, cantidad y Añadir.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0025_00h11m58s200ms_stable_change.jpg|references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/detail_crops/CH06-E0030_00h12m02s000ms_DETAIL.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-SUPPLY-INVENTORY-ONLY|QUOTE-SUPPLY-SEARCH|QUOTE-SUPPLY-SELECT","PARTIAL","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch06-synthetic-catalogs","SEL-CH06-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","El catálogo sintético muestra código, descripción, fabricante y marcador de disponibilidad, permite búsqueda/estado vacío/selección y persiste un importe manual. No certifica existencias ni precio autocompletado reales."
"CH06-F04","CH06","Selección de estudios diagnósticos","Estudios Dx usa socio, catálogo buscable, precio, cantidad y Añadir; el video filtra y selecciona un estudio de hemoglobina.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0060_00h12m43s000ms_settled.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-STUDY-INVENTORY-ONLY|QUOTE-STUDY-SEARCH|QUOTE-STUDY-SELECT","PARTIAL","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch06-synthetic-catalogs","SEL-CH06-QUOTE-CATALOG","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","El flujo sintético buscable de hemoglobina se selecciona y persiste con cantidad e importe manual; no implementa catálogo clínico ni precio de producción."
"CH06-F05","CH06","Honorarios por profesional o servicio","Honorarios permite elegir socio y un servicio de seguimiento asociado a médico, con precio y cantidad antes de añadirlo.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0083_00h13m15s800ms_abrupt_change.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","QUOTE-FEE-BUSINESS-PARTNER|QUOTE-FEE-SERVICE-CATALOG|QUOTE-FEE-DOCTOR-SELECT|QUOTE-FEE-AMOUNT","PARTIAL","VERIFIED","VERIFIED","VERIFIED","VERIFIED","","playwright:ch06-synthetic-catalogs|playwright:cr013-doctor-fee","SEL-CH06-QUOTE-CATALOG|SEL-B4-DOCTOR-FEE","","","","","","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Socio, servicio de seguimiento sintético, médico e importe manual se guardan y recargan. No se infiere tarifa profesional, cobertura ni reglas financieras."
"CH06-F06","CH06","Tabla agrupada y cálculo por renglón","La tabla agrupa categorías y muestra Tipo, Código, Item, Precio, Cantidad editable, Subtotal, Desc %, Desc $, Impuesto y Total; cada fila tiene acción de retiro.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0069_00h12m57s800ms_abrupt_change.jpg","CH06-Q004","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH06-F07","CH06","Descuentos, impuesto y totales","Grupo de descuento y selección de paciente producen recálculo visible de descuentos por línea, impuesto y resumen Subtotal/Descuentos/Impuestos/Total.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0109_00h14m14s200ms_abrupt_change.jpg|references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/detail_crops/CH06-E0115_00h14m24s200ms_DETAIL.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH06-F08","CH06","Autocompletado por paciente","Al cambiar Paciente se actualizan DUI/NIT, teléfono, correo, referido por y grupo de descuento visibles en la cabecera de la cotización.","VISIBLE","P1","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0103_00h14m06s400ms_stable_change.jpg","","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH06-F09","CH06","Persistencia y retroceso","El formulario ofrece Atrás y Guardar; el narrador afirma que Guardar persiste la cotización y luego usa Atrás.","VERBAL","P2","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0115_00h14m24s200ms_settled.jpg","CH06-Q008|CH06-Q009","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","NOT_TESTABLE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","NOT_TESTABLE","CH06-Q008|CH06-Q009","La evidencia verbal no muestra el resultado de Guardar ni la semántica de Atrás; faltan el contrato de versiones, navegación y resultado de error o cancelación antes de clasificarlo como paridad exacta.","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH06-F10","CH06","Contenido de Equipos y Extras","Las pestañas Equipos y Extras son visibles, pero este capítulo no demuestra sus formularios ni reglas internas.","UNCERTAIN","P2","references/video-audit/chapters/CH06_cotizacion_insumos_equipos_honorarios_extras_y_totales/event_frames/CH06-E0085_00h13m50s600ms_abrupt_change.jpg","CH06-Q007","ROUTE-QUOTES","/quotes","apps/web/src/app/(workspace)/quotes/page.tsx|apps/web/src/app/(workspace)/quotes/[id]/page.tsx|apps/web/src/components/providers.tsx","","","NOT_TESTABLE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","NOT_TESTABLE","CH06-Q007","El capítulo sólo muestra las pestañas Equipos y Extras; faltan campos, catálogos, reglas de precios, disponibilidad, impuestos y persistencia autorizados.","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Estado inicial desde MASTER_VIDEO_REQUIREMENTS; falta certificación actual independiente."
"CH07-F01","CH07","Listado de cotizaciones de hospitalización","Hospitalización separa Activos, Cotizaciones y PIC Ejecución. Cotizaciones dispone de Estado, Fecha de creación, Aplicar, Limpiar, Nuevo, paginación, registros y búsqueda.","VISIBLE","P1","references/video-audit/chapters/CH07_preautorizacion_seguro_y_reclamo/event_frames/CH07-E0013_00h15m48s600ms_stable_change.jpg","CH07-Q004","ROUTE-HOSPITALIZATIONS","/hospitalizations","apps/web/src/app/(workspace)/hospitalizations/page.tsx","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch07-hospitalization-quote-tracking","SEL-CH07-HOSPITALIZATION-QUOTES","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Visible hospital quote tabs, staged filters, search, page controls and new navigation are covered with synthetic data."
"CH07-F02","CH07","Estados de cotización, preautorización y reclamo","La tabla muestra Paciente, DUI/NIT, Nro., Estado, Envío preautorización, Respuesta seguro, Envío de reclamo, Creación y Total; se observan Pendiente, No Enviado y No aplica.","VISIBLE","P1","references/video-audit/chapters/CH07_preautorizacion_seguro_y_reclamo/event_frames/CH07-E0007_00h14m33s000ms_abrupt_change.jpg","CH07-Q002","ROUTE-HOSPITALIZATIONS","/hospitalizations","apps/web/src/app/(workspace)/hospitalizations/page.tsx","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch07-hospitalization-quote-tracking","SEL-CH07-HOSPITALIZATION-QUOTES","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","The observed table columns and pending, not-sent and not-applicable labels are visible; no insurer decision is claimed."
"CH07-F03","CH07","Búsqueda de cotización","El buscador global filtra el total de 26 registros hasta una fila del paciente consultado.","VISIBLE","P1","references/video-audit/chapters/CH07_preautorizacion_seguro_y_reclamo/event_frames/CH07-E0008_00h14m44s400ms_abrupt_change.jpg","","ROUTE-HOSPITALIZATIONS","/hospitalizations","apps/web/src/app/(workspace)/hospitalizations/page.tsx","","","EXACT","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:ch07-hospitalization-quote-tracking","SEL-CH07-HOSPITALIZATION-QUOTES","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","A specific synthetic quote number reduces the result list to one row."
"CH07-F04","CH07","Menú contextual y documentos","La fila expone Editar, Duplicar, Versiones, Imprimir, Enviar, Envíos al seguro, Historial de envíos y Eliminar. Imprimir abre Excel, Detalle de servicio, Cotización, Factura y cotizaciones internacionales.","VISIBLE","P1","references/video-audit/chapters/CH07_preautorizacion_seguro_y_reclamo/detail_crops/CH07-E0010_00h14m49s600ms_DETAIL.jpg","CH07-Q003|CH07-Q006","ROUTE-INSURANCE","/insurance","apps/web/src/app/(workspace)/insurance/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","The related quote and insurance surfaces remain available, while document variants, duplication, deletion and role matrix require CH07-Q004/Q008."
"CH07-F05","CH07","Envío por correo o WhatsApp","El submenú Enviar ofrece E-mail y Whatsapp. No se ejecuta el envío ni se evidencia su contenido.","VISIBLE","P1","references/video-audit/chapters/CH07_preautorizacion_seguro_y_reclamo/detail_crops/CH07-E0014_00h16m02s600ms_DETAIL.jpg","","ROUTE-INSURANCE","/insurance","apps/web/src/app/(workspace)/insurance/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","playwright:insurance-route-parity","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Email and WhatsApp remain visible safe blocked channels; no content or delivery is claimed."
"CH07-F06","CH07","Generación y envío directo de PDF","La conversación propone que el sistema cree el PDF y lo envíe por WhatsApp sin descarga manual; la evidencia visual sólo confirma el menú Whatsapp, no la automatización.","VERBAL","P2","references/video-audit/chapters/CH07_preautorizacion_seguro_y_reclamo/detail_crops/CH07-E0014_00h16m02s600ms_DETAIL.jpg","","ROUTE-INSURANCE","/insurance","apps/web/src/app/(workspace)/insurance/page.tsx|apps/web/src/components/providers.tsx","","","NOT_TESTABLE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","","","","","NOT_TESTABLE","CH07-Q005","Clasificación conservadora inicial; debe cerrarse durante la comparación código/pruebas.","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","The video does not establish direct PDF generation or WhatsApp delivery."
"CH07-F07","CH07","Transiciones de estado","El control Estado abre Pre aprobación, Poner en ejecución, Rechazar y No aplica.","VISIBLE","P1","references/video-audit/chapters/CH07_preautorizacion_seguro_y_reclamo/detail_crops/CH07-E0018_00h16m08s200ms_DETAIL.jpg","","ROUTE-INSURANCE","/insurance","apps/web/src/app/(workspace)/insurance/page.tsx|apps/web/src/components/providers.tsx","","","PARTIAL","VERIFIED","NOT_APPLICABLE","VERIFIED","VERIFIED","","","","","","","","b1ab00379ec7e5478292449779b08a2ab88a3d63","ed4afce3ee133ada69ffcb83f1a9e477d34103cd848e33aaa5a13637d5d53e68","Observed administrative observations are recorded append-only; the video does not establish a business state machine."
